产品名称,销售额,数量,日期,地区,客户类型
产品A,125000.50,250,2024-01-15,北京,企业客户
产品B,89000.25,180,2024-01-16,上海,个人客户
产品C,156000.75,320,2024-01-17,广州,企业客户
产品D,67000.00,135,2024-01-18,深圳,个人客户
产品E,234000.90,480,2024-01-19,杭州,企业客户
产品A,98000.30,195,2024-01-20,北京,个人客户
产品B,145000.60,290,2024-01-21,上海,企业客户
产品C,78000.15,160,2024-01-22,广州,个人客户
产品D,198000.40,405,2024-01-23,深圳,企业客户
产品E,112000.70,225,2024-01-24,杭州,个人客户
产品A,167000.85,335,2024-01-25,北京,企业客户
产品B,89000.20,178,2024-01-26,上海,个人客户
产品C,134000.55,270,2024-01-27,广州,企业客户
产品D,156000.30,312,2024-01-28,深圳,个人客户
产品E,89000.45,180,2024-01-29,杭州,企业客户
产品A,234000.20,468,2024-01-30,北京,个人客户
产品B,123000.90,246,2024-02-01,上海,企业客户
产品C,98000.60,196,2024-02-02,广州,个人客户
产品D,178000.35,356,2024-02-03,深圳,企业客户
产品E,145000.80,290,2024-02-04,杭州,个人客户
